window,level,group,rho,ci_lo,ci_hi,n_events,n_rows
3,sector_x_shock,XLRE|no_rate_surprise,-0.014557104891371558,,,12,12
3,sector_x_shock,XLRE|policy_tightening,-0.5515151515151515,,,10,10
3,sector_x_shock,XLRE|info_positive,-0.08771929824561403,,,18,18
3,sector_x_shock,XLRE|info_negative,0.10903956542493763,,,22,22
21,pooled,ALL,-0.015296662546438772,-0.0529277692018509,0.021991713665162248,348,3256
21,by_sector,XLK,-0.09104146974863613,-0.1916869684296258,0.016562882925167006,348,349
21,by_sector,XLC,0.18990042674253202,-0.19367013193708144,0.537353073055912,37,37
21,by_sector,XLY,0.017665830027382968,-0.09797286059695466,0.1343866338676181,348,349
21,by_sector,XLP,0.011554912228021847,-0.09356914985226883,0.12193487308748847,348,349
21,by_sector,XLV,-0.11835185132003388,-0.21536693383695132,-0.01794384308650745,348,349
21,by_sector,XLF,0.10403842159710554,-0.003454986332843728,0.20436900405040911,348,349
21,by_sector,XLI,0.05169502584138281,-0.055229106541594,0.15633819777732483,348,349
21,by_sector,XLB,-0.09772588625565344,-0.20405250414688383,0.00428959339733135,348,349
21,by_sector,XLE,-0.06300102728502759,-0.17271974653101888,0.03866411473673188,348,349
21,by_sector,XLU,0.00574032394361147,-0.10218590815854049,0.11163590985189589,348,349
21,by_sector,XLRE,0.06987965639335902,-0.15471127737811985,0.2823858497191647,78,78
21,by_shock_type,policy_easing,-0.023624089288533427,-0.09760062709385162,0.06122394163558729,80,745
21,by_shock_type,no_rate_surprise,-0.00365942151007572,-0.10679280036875957,0.10251467512861381,49,459
21,by_shock_type,policy_tightening,0.0007211926677070015,-0.10082112519525797,0.1031279355991471,56,517
21,by_shock_type,info_positive,-0.025802374669209226,-0.07994739707753207,0.030113410509375077,90,842
21,by_shock_type,info_negative,0.007237767165893402,-0.07888092974189309,0.09222804830443998,73,693
21,sector_x_shock,XLK|policy_easing,-0.028903292351872195,,,80,80
21,sector_x_shock,XLK|no_rate_surprise,0.06179044332713813,,,49,49
21,sector_x_shock,XLK|policy_tightening,-0.016234043646315,,,56,56
21,sector_x_shock,XLK|info_positive,-0.27431665704662905,,,91,91
21,sector_x_shock,XLK|info_negative,-0.06701221769714921,,,73,73
21,sector_x_shock,XLC|policy_easing,0.5833333333333334,,,9,9
21,sector_x_shock,XLC|no_rate_surprise,-0.08571428571428573,,,6,6
21,sector_x_shock,XLC|policy_tightening,,,,3,3
21,sector_x_shock,XLC|info_positive,-0.19999999999999998,,,5,5
21,sector_x_shock,XLC|info_negative,-0.06813186813186813,,,14,14
21,sector_x_shock,XLY|policy_easing,-0.029922994880101264,,,80,80
21,sector_x_shock,XLY|no_rate_surprise,-0.06020868961686457,,,49,49
21,sector_x_shock,XLY|policy_tightening,0.0530416951469583,,,56,56
21,sector_x_shock,XLY|info_positive,0.08277822682382122,,,91,91
21,sector_x_shock,XLY|info_negative,0.07836603727014688,,,73,73
21,sector_x_shock,XLP|policy_easing,0.007020751655181172,,,80,80
21,sector_x_shock,XLP|no_rate_surprise,-0.1636474989834098,,,49,49
21,sector_x_shock,XLP|policy_tightening,-0.0880739588980079,,,56,56
21,sector_x_shock,XLP|info_positive,0.07618402978300917,,,91,91
21,sector_x_shock,XLP|info_negative,0.10869431074910528,,,73,73
21,sector_x_shock,XLV|policy_easing,-0.19752927250855723,,,80,80
21,sector_x_shock,XLV|no_rate_surprise,-0.16274975761701427,,,49,49
21,sector_x_shock,XLV|policy_tightening,0.05813893894590559,,,56,56
21,sector_x_shock,XLV|info_positive,0.006060002787171524,,,91,91
21,sector_x_shock,XLV|info_negative,-0.2463285203011231,,,73,73
21,sector_x_shock,XLF|policy_easing,0.061945087493995,,,80,80
21,sector_x_shock,XLF|no_rate_surprise,0.02368676671375911,,,49,49
21,sector_x_shock,XLF|policy_tightening,-0.15810519849283375,,,56,56
21,sector_x_shock,XLF|info_positive,0.1704679389070459,,,91,91
21,sector_x_shock,XLF|info_negative,0.22251704678759496,,,73,73
21,sector_x_shock,XLI|policy_easing,0.003457713340892259,,,80,80
21,sector_x_shock,XLI|no_rate_surprise,0.01132971031388434,,,49,49
21,sector_x_shock,XLI|policy_tightening,-0.09795109282176587,,,56,56
21,sector_x_shock,XLI|info_positive,0.10518813461094512,,,91,91
21,sector_x_shock,XLI|info_negative,0.17937800814513147,,,73,73
21,sector_x_shock,XLB|policy_easing,-0.09659044293259479,,,80,80
21,sector_x_shock,XLB|no_rate_surprise,-0.06270888096536148,,,49,49
21,sector_x_shock,XLB|policy_tightening,0.19419002050580997,,,56,56
21,sector_x_shock,XLB|info_positive,-0.13573399482559234,,,91,91
21,sector_x_shock,XLB|info_negative,-0.1924595828705418,,,73,73
21,sector_x_shock,XLE|policy_easing,-0.06078364725742467,,,80,80
21,sector_x_shock,XLE|no_rate_surprise,0.08357782507832556,,,49,49
21,sector_x_shock,XLE|policy_tightening,0.01729323308270677,,,56,56
21,sector_x_shock,XLE|info_positive,-0.08061221646344802,,,91,91
21,sector_x_shock,XLE|info_negative,-0.0950573861532766,,,73,73
21,sector_x_shock,XLU|policy_easing,0.05271208811578152,,,80,80
21,sector_x_shock,XLU|no_rate_surprise,-0.11761612827785779,,,49,49
21,sector_x_shock,XLU|policy_tightening,0.06883940370214778,,,56,56
21,sector_x_shock,XLU|info_positive,-0.01982271861743072,,,91,91
21,sector_x_shock,XLU|info_negative,0.12594586681998665,,,73,73
21,sector_x_shock,XLRE|policy_easing,0.17807216005584123,,,16,16
21,sector_x_shock,XLRE|no_rate_surprise,0.13829249646802982,,,12,12
21,sector_x_shock,XLRE|policy_tightening,-0.406060606060606,,,10,10
21,sector_x_shock,XLRE|info_positive,-0.31888544891640863,,,18,18
21,sector_x_shock,XLRE|info_negative,0.16666669326609637,,,22,22
